enterscene_,sceneinfo,appuin,appuinname,uv
ALL,NULL,3508002787,酒店机票火车,1101821
1019,钱包,3508002787,酒店机票火车,806869
ALL,NULL,3505078432,黑咔相机,259445
1089,会话下拉,3508002787,酒店机票火车,236885
ALL,NULL,3507000638,大众点评美食电影运动旅游门票,217586
ALL,NULL,3507801930,抽奖助手,198364
1014,模版消息,3507801930,抽奖助手,173671
ALL,NULL,3507135269,腾讯乘车码,149408
1019,钱包,3507000638,大众点评美食电影运动旅游门票,148610
ALL,NULL,3507000634,美团外卖,147962
1044,群API,3508002787,酒店机票火车,134662
ALL,NULL,3508434013,腾讯手机充值,131607
1008,群聊,3505078432,黑咔相机,114062
1089,会话下拉,3505078432,黑咔相机,108677
1089,会话下拉,3507135269,腾讯乘车码,98628
1007,单聊,3508002787,酒店机票火车,98363
1014,模版消息,3508002787,酒店机票火车,96994
1048,长按小程序码,3507801930,抽奖助手,82838
1007,单聊,3505078432,黑咔相机,78169
ALL,NULL,3506044594,中国移动10086+,71363
1035,公众号自定义菜单,3506044594,中国移动10086+,51013
ALL,NULL,3505048450,街电,49419
ALL,NULL,3507063404,小电充电,48746
1067,公众号文章广告,3508002787,酒店机票火车,48192
ALL,NULL,3506543534,节日酷炫祝福,46666
1089,会话下拉,3507000634,美团外卖,45711
1089,会话下拉,3508434013,腾讯手机充值,44633
1014,模版消息,3505078432,黑咔相机,44518
ALL,NULL,3508009271,微快递+,43206
1028,卡包,3507135269,腾讯乘车码,42496
1001,列表,3508002787,酒店机票火车,42217
ALL,NULL,3505701833,58到家家庭服务,40192
ALL,NULL,3508000880,快递100小助手,40021
ALL,NULL,3505000848,车来了精准实时公交,39789
1019,钱包,3507000634,美团外卖,38633
1036,App分享消息,3507000638,大众点评美食电影运动旅游门票,38450
1098,钱包手机充值,3508434013,腾讯手机充值,36825
1089,会话下拉,3507000638,大众点评美食电影运动旅游门票,36201
1089,会话下拉,3507801930,抽奖助手,35552
1037,其他小程序,3508434013,腾讯手机充值,32269
1008,群聊,3508002787,酒店机票火车,31013
ALL,NULL,3508000873,携程订酒店机票火车票汽车票门票,29792
ALL,NULL,3506278134,识花君,27402
1019,钱包,3505701833,58到家家庭服务,26011
1008,群聊,3507000634,美团外卖,25536
ALL,NULL,3508000875,小年糕+,25455
1011,扫描二维码,3507063404,小电充电,25111
1011,扫描二维码,3505048450,街电,25006
ALL,NULL,3505247596,怪兽充电EnergyMonster,24766
1001,列表,3507135269,腾讯乘车码,23793
1038,其他小程序返回,3508002787,酒店机票火车,23778
1037,其他小程序,3507135269,腾讯乘车码,23689
1089,会话下拉,3508000880,快递100小助手,23653
ALL,NULL,3508145002,玩车教授,22907
1007,单聊,3507000634,美团外卖,22900
1014,模版消息,3507063404,小电充电,22784
1038,其他小程序返回,3507135269,腾讯乘车码,22599
1089,会话下拉,3506044594,中国移动10086+,22446
ALL,NULL,3505003378,小打卡,22150
1014,模版消息,3507000634,美团外卖,21783
1035,公众号自定义菜单,3508434013,腾讯手机充值,21367
1036,App分享消息,3507000634,美团外卖,21160
1089,会话下拉,3508009271,微快递+,20948
1095,小程序广告组件,3508002787,酒店机票火车,20484
1001,列表,3505078432,黑咔相机,19982
