first_scene,sceneinfo,appuin,appuinname,uv
1000,NULL,3208520159,信用卡还款+,2
1001,列表,3208520159,信用卡还款+,14
1005,全搜,3208520159,信用卡还款+,30
1006,垂搜,3208520159,信用卡还款+,32
1007,单聊,3208520159,信用卡还款+,2
1014,模版消息,3208520159,信用卡还款+,6
1020,公众号profile,3208520159,信用卡还款+,613
1027,本地搜索,3208520159,信用卡还款+,1
1037,其他小程序,3208520159,信用卡还款+,107
1042,好友搜索,3208520159,信用卡还款+,8
1043,公众号模板消息,3208520159,信用卡还款+,414
1089,会话下拉,3208520159,信用卡还款+,28
ALL,NULL,3208520159,信用卡还款+,1257
1001,列表,3505000820,春秋航空特价机票,12
1005,全搜,3505000820,春秋航空特价机票,222
1006,垂搜,3505000820,春秋航空特价机票,68
1007,单聊,3505000820,春秋航空特价机票,8
1011,扫描二维码,3505000820,春秋航空特价机票,41
1012,长按二维码,3505000820,春秋航空特价机票,5
1020,公众号profile,3505000820,春秋航空特价机票,132
1024,小程序profile,3505000820,春秋航空特价机票,8
1026,附近的小程序,3505000820,春秋航空特价机票,1
1027,本地搜索,3505000820,春秋航空特价机票,8
1035,公众号自定义菜单,3505000820,春秋航空特价机票,1423
1037,其他小程序,3505000820,春秋航空特价机票,9
1042,好友搜索,3505000820,春秋航空特价机票,49
1043,公众号模板消息,3505000820,春秋航空特价机票,1
1044,群API,3505000820,春秋航空特价机票,11
1047,扫描小程序码,3505000820,春秋航空特价机票,82
1048,长按小程序码,3505000820,春秋航空特价机票,3
1053,搜一搜,3505000820,春秋航空特价机票,13
1058,公众号文章,3505000820,春秋航空特价机票,12
1080,客服消息菜单,3505000820,春秋航空特价机票,3
1089,会话下拉,3505000820,春秋航空特价机票,18
1102,NULL,3505000820,春秋航空特价机票,47
ALL,NULL,3505000820,春秋航空特价机票,2176
1001,列表,3505000837,e代驾Lite,15
1005,全搜,3505000837,e代驾Lite,48
1006,垂搜,3505000837,e代驾Lite,190
1007,单聊,3505000837,e代驾Lite,9
1008,群聊,3505000837,e代驾Lite,6
1011,扫描二维码,3505000837,e代驾Lite,1744
1012,长按二维码,3505000837,e代驾Lite,29
1013,相册选取二维码,3505000837,e代驾Lite,7
1020,公众号profile,3505000837,e代驾Lite,37
